alert_id,sensor_node_id,social_node_id,incident_type,sensor_location,timestamp,sequence_frame,temperature_celsius,smoke_density_ppm,co2_level_ppm,humidity_percentage,crowd_density,traffic_density,visibility_score,fire_area_ratio,network_latency_ms,propagation_delay_sec,routing_path_length,node_influence_score,coverage_percentage,alert_reliability_score,social_alerts_forwarded,response_time_sec,emergency_severity,alert_priority,fire_detected,smoke_detected,sensor_confidence_score,mobile_alerts_sent,citizen_reports_received,target_label
ALERT_000001,FIRE_NODE_0328,USER_NODE_01825,urban_fire,forest_region,2026-05-14 12:11:05.298300,8,110.54,1144.8,3820.77,43.91,0.164,0.164,0.102,0.5637,488.87,42.78,4,0.07,98.19,0.941,572,131.34,critical,urgent,1,1,0.753,12116,52,2
ALERT_000002,FIRE_NODE_0347,USER_NODE_08936,urban_fire,metro_station,2026-05-14 12:11:08.298300,2,77.1,420.75,2908.93,33.08,0.298,0.616,0.176,0.1934,305.76,27.91,1,0.796,51.98,0.849,384,357.49,moderate,high,1,1,0.713,3632,119,1
ALERT_000003,FIRE_NODE_0259,USER_NODE_09864,urban_fire,warehouse_zone,2026-05-14 12:11:11.298300,18,151.32,270.99,886.23,66.68,0.966,0.81,0.324,0.068,553.7,26.97,7,0.166,69.71,0.71,903,546.05,low,medium,1,1,0.775,7409,301,0
ALERT_000004,FIRE_NODE_0143,USER_NODE_00107,warehouse_fire,industrial_area,2026-05-14 12:11:14.298300,14,160.94,429.12,2888.3,40.54,0.193,0.97,0.748,0.611,717.97,36.28,6,0.926,45.31,0.757,1139,31.91,critical,urgent,1,1,0.794,2597,110,2
ALERT_000005,FIRE_NODE_0491,USER_NODE_05515,urban_fire,commercial_complex,2026-05-14 12:11:17.298300,13,113.02,383.91,4246.45,28.19,0.288,0.547,0.177,0.5224,78.15,59.23,2,0.784,51.92,0.702,1471,490.2,critical,urgent,1,1,0.905,13935,176,2
ALERT_000006,FIRE_NODE_0310,USER_NODE_04334,warehouse_fire,residential_building,2026-05-14 12:11:20.298300,15,172.58,943.82,925.8,28.3,0.125,0.864,0.611,0.2184,69.58,19.35,9,0.359,83.78,0.885,512,532.89,moderate,high,1,1,0.837,6251,40,1
ALERT_000007,FIRE_NODE_0283,USER_NODE_04804,warehouse_fire,shopping_mall,2026-05-14 12:11:23.298300,19,65.93,878.83,3947.45,41.48,0.773,0.499,0.52,0.2808,39.83,7.37,4,0.08,78.18,0.791,2886,307.6,critical,urgent,1,1,0.963,1189,23,2
ALERT_000008,FIRE_NODE_0339,USER_NODE_03734,warehouse_fire,forest_region,2026-05-14 12:11:26.298300,3,88.63,539.63,3924.43,19.87,0.086,0.297,0.195,0.6047,650.33,38.37,14,0.878,88.22,0.754,954,536.07,critical,urgent,1,1,0.856,14246,51,2
ALERT_000009,FIRE_NODE_0195,USER_NODE_04555,building_fire,shopping_mall,2026-05-14 12:11:29.298300,6,186.3,1083.62,1999.22,12.15,0.236,0.433,0.786,0.5602,25.42,31.13,6,0.447,53.33,0.735,1456,205.88,critical,urgent,1,1,0.973,3482,343,2
ALERT_000010,FIRE_NODE_0137,USER_NODE_01170,industrial_fire,industrial_area,2026-05-14 12:11:32.298300,18,101.56,661.05,3693.28,28.64,0.972,0.963,0.277,0.3257,254.69,17.81,12,0.085,76.57,0.846,1003,35.63,critical,urgent,1,1,0.781,2727,236,2
ALERT_000011,FIRE_NODE_0195,USER_NODE_04423,kitchen_fire,warehouse_zone,2026-05-14 12:11:35.298300,11,203.95,348.31,1237.54,36.81,0.986,0.25,0.655,0.4962,205.36,43.96,14,0.399,77.94,0.884,230,323.79,critical,urgent,1,1,0.726,3802,420,2
